Time WindDir SailAngle DragForward LiftForward
25.9 3.999956 133.7751 0.1011126 0.01073063
26 3.999956 132.1805 0.1050327 0.01053911
26.12 3.999956 130.5425 0.1089295 0.01025131
26.22 3.999956 128.9752 0.1124354 0.009922736
26.32 3.999956 127.3807 0.1158763 0.009529537
26.42 3.999956 125.7821 0.1191553 0.009071806
26.54 3.999956 124.1417 0.1222861 0.008516727
26.64 3.999956 122.5752 0.1250439 0.007953143
26.74 3.999956 120.9799 0.1276879 0.007334351
26.84 3.999956 119.3803 0.1301298 0.006666816
26.96 3.999956 117.7353 0.1323438 0.005910883
27.06 3.999956 116.1729 0.1342147 0.005187335
27.16 3.999956 114.5763 0.1359533 0.004417553
27.26 3.999956 112.9757 0.1374632 0.003621144
27.38 3.999956 111.3263 0.1386859 0.002752609
27.48 3.999956 109.7684 0.1396227 0.001958814
27.58 3.999956 108.171 0.1404082 0.001127615
27.68 3.999956 106.5699 0.1409643 0.0002913567
27.8 3.999956 104.9187 0.1411883 0.0005974607
27.9 3.999956 103.363 0.1411863 0.001375015
28 3.999956 101.7653 0.1409975 0.002183733
28.12 3.999956 100.1149 0.1404321 0.00302998
28.22 4.99997 173.8043 0.01340847 0.002238546
28.32 4.99997 178.0687 0.002129823 0.0003854473
28.42 4.99997 176.9259 0.003059114 0.0005552368
28.54 4.99997 175.3144 0.005025906 0.0009104222
28.64 4.99997 173.7632 0.007043144 0.001270744
28.74 4.99997 172.1688 0.009371971 0.001681146
28.84 4.99997 170.5707 0.01191264 0.002121852
28.96 4.99997 168.9254 0.01481558 0.002618585
29.06 4.99997 167.3712 0.01760303 0.003083628
29.16 4.99997 165.7773 0.02071798 0.003589361
29.26 4.99997 164.18 0.02402136 0.00410973
29.38 4.99997 162.5385 0.02768846 0.004671556
29.48 4.99997 160.9818 0.03115014 0.005178478
29.58 4.99997 159.3887 0.03491975 0.005705762
29.7 4.99997 157.7504 0.03903995 0.006256957
29.8 4.99997 156.1915 0.0429022 0.006740229
29.9 4.99997 154.5987 0.04703131 0.007223221
30 4.99997 153.0025 0.05126507 0.007680887
30.12 4.99997 151.3679 0.05577314 0.008127888
30.22 4.99997 149.8047 0.05997084 0.008497599
30.32 4.99997 148.2119 0.06435511 0.00883813
30.42 4.99997 146.6154 0.0687789 0.009131031
30.54 4.99997 144.9841 0.07338513 0.009378937
30.64 4.99997 143.4152 0.07764526 0.009550192
30.74 4.99997 141.8215 0.08199814 0.009669576
30.84 4.99997 140.2237 0.08632033 0.009725624
30.96 4.99997 138.5932 0.09071974 0.00970904
31.06 4.99997 137.0191 0.09474533 0.009626458
31.16 4.99997 135.4235 0.09877667 0.009481328
31.26 4.99997 133.8237 0.1027091 0.009267434
31.38 4.99997 132.1902 0.1066125 0.008964737
31.48 4.99997 130.614 0.1101226 0.008618727
31.58 4.99997 129.0162 0.1135721 0.008211102
31.7 4.99997 127.3786 0.1169366 0.007708989
31.8 4.99997 125.8044 0.1199059 0.0071893
31.9 4.99997 124.2054 0.1227824 0.006612792
32 4.99997 122.6024 0.1254655 0.005984671
32.12 4.99997 120.9584 0.1279554 0.005268886
32.24 4.99997 119.3487 0.1300777 0.004534354
32.34 4.99997 117.7843 0.1319533 0.003819082
32.46 4.99997 116.1415 0.1336946 0.003005881
32.58 4.99997 114.5348 0.135083 0.002198742
32.68 4.99997 112.9747 0.136265 0.001430139
32.8 4.99997 111.3316 0.1372532 0.0005690074
32.92 4.99997 109.7275 0.1379057 0.0002590727
33.02 4.99997 108.1698 0.1383823 0.001034182
33.14 4.99997 106.5285 0.138576 0.001891076
33.26 4.99997 104.926 0.138447 0.002693152
33.36 4.99997 103.369 0.138198 0.003432554
33.48 4.99997 101.7297 0.1376054 0.004236302
33.6 4.99997 100.1278 0.1367437 0.004968232
33.7 5.999923 173.8157 0.01506901 0.00236428
33.82 5.999923 178.2323 0.002241925 0.0003889895
33.94 5.999923 176.9148 0.00367016 0.0006377846
34.04 5.999923 175.3728 0.005707898 0.0009872956
34.16 5.999923 173.7347 0.008211828 0.001412295
34.28 5.999923 172.1342 0.01080316 0.001846
34.38 5.999923 170.5783 0.01343283 0.002275672
34.5 5.999923 168.9395 0.01654872 0.002775173
34.62 5.999923 167.3387 0.01971092 0.003269444
34.74 5.999923 165.7399 0.02304487 0.003774724
34.84 5.999923 164.1829 0.02636505 0.004256517
34.96 5.999923 162.5458 0.03018564 0.004791272
35.08 5.999923 160.9453 0.03399955 0.005300644
35.18 5.999923 159.3869 0.03774656 0.005770595
35.3 5.999923 157.7528 0.04196261 0.006269993
35.42 5.999923 156.1529 0.04613085 0.006729198
35.52 5.999923 154.5927 0.05019157 0.007136905
35.64 5.999923 152.9628 0.05465762 0.007545049
35.76 5.999923 151.3632 0.05903913 0.007900295
35.86 5.999923 149.8005 0.06327409 0.008195449
35.98 5.999923 148.1748 0.06783032 0.008462039
36.1 5.999923 146.5748 0.07226466 0.008665453
36.2 5.999923 145.0092 0.07651567 0.008804741
36.32 5.999923 143.3859 0.08100015 0.008891287
36.44 5.999923 141.7846 0.08531988 0.008907591
36.54 5.999923 140.2166 0.08942066 0.008861464
36.66 5.999923 138.5932 0.0936777 0.008744994
36.78 5.999923 136.99 0.09771874 0.008556434
36.88 5.999923 135.4208 0.1015084 0.008314338
37 5.999923 133.7935 0.1053885 0.00798978
37.12 5.999923 132.1881 0.1089999 0.007599124
37.24 5.999923 130.5851 0.1124255 0.007146314
37.34 5.999923 129.0172 0.1155807 0.006662845
37.46 5.999923 127.3826 0.1187666 0.006083324
37.58 5.999923 125.7757 0.1216099 0.005462122
37.68 5.999923 124.2094 0.1241684 0.004834955
37.8 5.999923 122.57 0.1267052 0.004105003
37.92 5.999923 120.9629 0.1288687 0.003360445
38.02 5.999923 119.3987 0.1307631 0.002634685
38.14 5.999923 117.7566 0.1325756 0.001804477
38.26 5.999923 116.15 0.13401 0.0009892912
38.36 5.999923 114.5878 0.13521 0.0002141476
38.48 5.999923 112.9447 0.136249 0.0006593929
38.6 5.999923 111.339 0.1369089 0.001492144
38.7 5.999923 109.7783 0.1373642 0.002269479
38.82 5.999923 108.136 0.1375625 0.003131367
38.94 5.999923 106.5311 0.1374228 0.003931208
39.04 5.999923 104.9718 0.1371485 0.004665991
39.16 5.999923 103.3297 0.1365364 0.005460868
39.28 5.999923 101.7254 0.1356503 0.00618091
39.4 5.999923 100.1235 0.1345354 0.00686558
39.5 6.999901 173.8126 0.01676487 0.002493911
39.62 6.999901 178.2275 0.002582 0.0004321175
39.74 6.999901 176.9096 0.004203658 0.0007038099
39.84 6.999901 175.3685 0.006492151 0.00107986
39.96 6.999901 173.7292 0.00926379 0.00152858
40.08 6.999901 172.129 0.01210563 0.001980187
40.18 6.999901 170.5742 0.01496597 0.002421705
40.3 6.999901 168.9344 0.01831365 0.00292551
40.42 6.999901 167.3335 0.02169674 0.003419063
40.52 6.999901 165.7777 0.02505487 0.003887672
40.64 6.999901 164.1379 0.02890854 0.004403836
40.76 6.999901 162.5363 0.03276112 0.004895513
40.86 6.999901 160.9791 0.03653868 0.005347406
40.98 6.999901 159.3399 0.04079452 0.005824269
41.1 6.999901 157.7376 0.04500801 0.006262121
41.2 6.999901 156.1789 0.04909248 0.006647345
41.32 6.999901 154.5404 0.05361653 0.007030381
41.44 6.999901 152.9372 0.05804975 0.007360603
41.54 6.999901 151.3775 0.0622995 0.007629386
41.66 6.999901 149.7394 0.06693555 0.007868076
41.78 6.999901 148.1356 0.07142458 0.008042593
41.9 6.999901 146.5342 0.07587411 0.008156155
42 6.999901 144.9751 0.08008969 0.008206652
42.12 6.999901 143.3365 0.08461348 0.008193488
42.24 6.999901 141.7328 0.08890211 0.008109405
42.34 6.999901 140.1745 0.09290801 0.007969552
42.46 6.999901 138.5351 0.09714929 0.007744602
42.58 6.999901 136.932 0.1010986 0.007453699
42.68 6.999901 135.3752 0.1047344 0.007121922
42.8 6.999901 133.735 0.1085456 0.006688012
42.92 6.999901 132.133 0.1120074 0.006202507
43.02 6.999901 130.5773 0.115148 0.005696743
43.14 6.999901 128.937 0.118393 0.005077189
43.26 6.999901 127.3358 0.1212516 0.004428346
43.36 6.999901 125.7804 0.1237987 0.003782232
43.48 6.999901 124.1404 0.1263731 0.003018062
43.6 6.999901 122.5394 0.1285461 0.002251194
43.7 6.999901 120.9834 0.1304335 0.001509093
43.82 6.999901 119.3438 0.1322663 0.0006535361
43.94 6.999901 117.7424 0.1337058 0.0001782862
44.04 6.999901 116.1852 0.134885 0.0009671555
44.16 6.999901 114.5453 0.1358945 0.001856272
44.28 6.999901 112.943 0.1365184 0.002700796
44.4 6.999901 111.3427 0.1368697 0.003535599
44.5 6.999901 109.7845 0.1370364 0.00431141
44.62 6.999901 108.1439 0.1369118 0.005153106
44.74 6.999901 106.5408 0.1364715 0.005928017
44.84 6.999901 104.9823 0.1359113 0.006637848
44.96 6.999901 103.3417 0.1349866 0.007380328
45.08 6.999901 101.7386 0.1338147 0.008050356
45.18 6.999901 100.1797 0.1325871 0.008656777
45.3 7.999956 176.3278 0.01024133 0.001544584
45.42 7.999956 178.3648 0.002637513 0.0004279318
45.52 7.999956 176.9731 0.004616776 0.0007456994
45.64 7.999956 175.3549 0.007425615 0.001188903
45.76 7.999956 173.7585 0.01032892 0.001638031
45.86 7.999956 172.1999 0.01325419 0.002077237
45.98 7.999956 170.5724 0.01663974 0.002571851
46.1 7.999956 168.9753 0.02006553 0.003056785
46.2 7.999956 167.4134 0.02348135 0.003518221
46.32 7.999956 165.789 0.02734796 0.004018754
46.44 7.999956 164.1909 0.03123089 0.004497346
46.56 7.999956 162.5947 0.03523517 0.004961885
46.66 7.999956 161.0284 0.03918358 0.005384538
46.78 7.999956 159.4052 0.04355404 0.005818414
46.9 7.999956 157.8045 0.04788872 0.006210395
47 7.999956 156.2348 0.05210299 0.00654573
47.12 7.999956 154.61 0.05671067 0.006869054
47.24 7.999956 153.0067 0.06122373 0.007134953
47.34 7.999956 151.4353 0.06555516 0.007334785
47.46 7.999956 149.8076 0.0702503 0.007499115
47.58 7.999956 148.2022 0.07477637 0.007593954
47.68 7.999956 146.6307 0.07906188 0.007620872
47.8 7.999956 144.9989 0.08367255 0.007588586
47.92 7.999956 143.3924 0.08803595 0.007482476
48.02 7.999956 141.8223 0.09211184 0.007316015
48.14 7.999956 140.1876 0.09646152 0.007066679
48.26 7.999956 138.5812 0.1004903 0.006750325
48.36 7.999956 137.013 0.1042048 0.006389323
48.48 7.999956 135.3769 0.1081201 0.005926213
48.6 7.999956 133.7712 0.1116624 0.005412451
48.7 7.999956 132.205 0.1148852 0.004875018
48.82 7.999956 130.5684 0.118219 0.004224102
48.94 7.999956 128.9636 0.1211527 0.003545362
49.06 7.999956 127.3614 0.1238617 0.002821945
49.16 7.999956 125.7975 0.1262756 0.002104453
49.28 7.999956 124.1605 0.1286673 0.001274757
49.4 7.999956 122.5564 0.1306613 0.000450524
49.5 7.999956 120.9937 0.1323885 0.0003465916
49.62 7.999956 119.3555 0.1339737 0.001244409
49.74 7.999956 117.7512 0.1351606 0.002114849
49.84 7.999956 116.1897 0.1361133 0.002941221
49.96 7.999956 114.5499 0.1368177 0.003846837
50.08 7.999956 112.9454 0.1371659 0.004705977
50.18 7.999956 111.3847 0.1373376 0.005506426
50.3 7.999956 109.7437 0.1371714 0.006356595
50.42 7.999956 108.1388 0.1367036 0.007146336
50.52 7.999956 106.5785 0.1361216 0.007869218
50.64 7.999956 104.9372 0.1351321 0.008608614
50.76 7.999956 103.332 0.1339063 0.009281212
50.86 7.999956 101.7713 0.1326294 0.00988567
50.98 7.999956 100.1308 0.1308997 0.01047453
51.1 8.999951 176.3048 0.01129308 0.001629342
51.22 8.999951 178.3374 0.002924455 0.0004584157
51.32 8.999951 176.9477 0.005118361 0.0007973738
51.44 8.999951 175.3188 0.00820968 0.001263739
51.56 8.999951 173.7185 0.01138141 0.001730405
51.66 8.999951 172.1647 0.01454782 0.002180222
51.78 8.999951 170.5258 0.01819642 0.002679686
51.9 8.999951 168.926 0.02186369 0.003162919
52 8.999951 167.3716 0.02548334 0.003614575
52.12 8.999951 165.7357 0.02958344 0.004098474
52.24 8.999951 164.1367 0.03366684 0.004552526
52.34 8.999951 162.5813 0.03765252 0.004960154
52.46 8.999951 160.9476 0.04211016 0.005379248
52.58 8.999951 159.3488 0.04650029 0.005753009
52.68 8.999951 157.7922 0.05073499 0.006067462
52.8 8.999951 156.1592 0.05542871 0.00637024
52.92 8.999951 154.5604 0.05998819 0.006613024
53.02 8.999951 153.0023 0.06433257 0.006788693
53.14 8.999951 151.3692 0.06911422 0.006927411
53.26 8.999951 149.7695 0.07368327 0.006996149
53.36 8.999951 148.2101 0.07798758 0.006997747
53.48 8.999951 146.576 0.08268671 0.006935894
53.6 8.999951 144.9754 0.08710325 0.006802664
53.72 8.999951 143.3766 0.09142289 0.006599102
53.82 8.999951 141.8154 0.09542783 0.006340367
53.94 8.999951 140.1805 0.09974413 0.005986896
54.06 8.999951 138.5787 0.1036946 0.005574508
54.16 8.999951 137.016 0.107306 0.005124146
54.28 8.999951 135.3809 0.1111334 0.004563796
54.4 8.999951 133.7784 0.1145611 0.003962676
54.5 8.999951 132.2149 0.1176545 0.003344173
54.62 8.999951 130.58 0.1208497 0.002611984
54.74 8.999951 128.977 0.1236368 0.001860874
54.84 8.999951 127.4128 0.1261132 0.001113172
54.96 8.999951 125.7786 0.1285703 0.0002610542
55.08 8.999951 124.176 0.1306305 0.0005892235
55.18 8.999951 122.6115 0.1323963 0.001417574
55.3 8.999951 120.9787 0.1339937 0.002330369
55.42 8.999951 119.3764 0.135209 0.003223284
55.52 8.999951 117.8112 0.1361906 0.004079519
55.64 8.999951 116.1804 0.1368883 0.004989316
55.76 8.999951 114.578 0.1372495 0.005863754
55.86 8.999951 113.0113 0.1374358 0.006688836
55.98 8.999951 111.3823 0.1372472 0.007532015
56.1 8.999951 109.7789 0.1367762 0.008328787
56.22 8.999951 108.1776 0.1360366 0.009084354
56.32 8.999951 106.6089 0.1352028 0.009782858
56.44 8.999951 104.9803 0.1339229 0.01045814
56.56 8.999951 103.3743 0.1324372 0.01107773
56.66 8.999951 101.804 0.1309115 0.01163437
56.78 8.999951 100.1722 0.1289179 0.01214559
56.9 9.99997 176.3381 0.01232001 0.001694262
57 9.99997 178.2927 0.003432934 0.0005164547
57.12 9.99997 176.9373 0.00577509 0.0008640268
57.24 9.99997 175.349 0.008990699 0.00132793
57.34 9.99997 173.7904 0.01223013 0.001778554
57.46 9.99997 172.1533 0.01597684 0.002280972
57.58 9.99997 170.5515 0.01972774 0.002763649
57.68 9.99997 168.9913 0.02341643 0.003211524
57.8 9.99997 167.3547 0.0276246 0.003695593
57.92 9.99997 165.7527 0.03179217 0.004144715
58.02 9.99997 164.1921 0.03584276 0.004543595
58.14 9.99997 162.556 0.04041766 0.004958229
58.26 9.99997 160.9542 0.04489179 0.005321826
58.38 9.99997 159.3549 0.04942914 0.005644893
58.48 9.99997 157.7944 0.05378181 0.005903262
58.6 9.99997 156.1594 0.05863975 0.006142441
58.72 9.99997 154.5583 0.06330367 0.006313904
58.82 9.99997 152.9976 0.06772144 0.006416163
58.94 9.99997 151.3634 0.07260197 0.006469576
59.06 9.99997 149.7625 0.07722215 0.006450493
59.16 9.99997 148.2013 0.08155266 0.006365586
59.28 9.99997 146.5675 0.08627845 0.006203572
59.4 9.99997 144.9663 0.09068616 0.005972165
59.5 9.99997 143.4045 0.09477449 0.005685649
59.62 9.99997 141.7704 0.09916696 0.005299706
59.74 9.99997 140.1687 0.1031985 0.004855127
59.84 9.99997 138.6062 0.106897 0.00437207
59.96 9.99997 136.9717 0.1107883 0.00377735
60.08 9.99997 135.3691 0.114295 0.003140798
60.18 9.99997 133.806 0.1174733 0.002485941
60.3 9.99997 132.1712 0.1207184 0.001720291
60.42 9.99997 130.5682 0.12358 0.0009316605
60.52 9.99997 129.0041 0.1261321 0.0001469497
